Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=e396ea9b7f6446795d77fcb5910e432c&SERIES_KEY=42.FM.B.IT.USD.DS.SC.ITGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.IT.USD.DS.SC.ITGVTS5.HST
,"ITALY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2023-11-13,102.2270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-10,105.3770000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-09,105.2710000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-08,105.7570000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-07,106.1230000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-06,106.6860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-03,107.0290000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-02,108.2260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-01,111.8140000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-31,111.0480000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-30,111.2430000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-27,113.7660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-26,116.3800000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-25,115.9670000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-24,113.7870000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-23,113.8260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-20,117.5580000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-19,116.7670000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-18,116.3940000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-17,115.3880000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-16,114.0880000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-13,114.5960000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-12,110.1970000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-11,112.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-10,112.6520000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-09,116.1710000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-06,114.6780000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-05,111.7620000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-04,108.5470000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-03,108.1370000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-02,106.4220000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-29,106.0050000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-28,110.3910000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-27,106.4130000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-26,104.3120000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-25,100.6110000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-22,98.8330000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-21,96.9370000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-20,95.4290000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-19,87.7530000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-18,88.0760000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-15,88.0620000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-14,88.7040000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-13,87.2150000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-12,85.6770000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-11,85.9140000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-08,87.0300000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-07,86.9980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-06,86.6590000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-05,85.9200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-04,85.3170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-09-01,85.3710000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-31,85.3890000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-30,85.0080000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-29,86.2230000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-28,87.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-25,87.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-24,87.7660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-23,88.1020000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-22,88.7380000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-21,89.6580000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-18,90.0000000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-17,91.2380000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-16,89.8330000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-15,89.0590000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-14,88.2980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-11,88.0300000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-10,88.1780000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-09,89.0550000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-08,90.1500000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-07,87.7940000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-04,87.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-03,87.8340000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-02,88.8670000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-08-01,87.2100000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-31,86.0950000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-28,84.6600000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-27,85.6760000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-26,88.2650000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-25,87.5300000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-24,85.7560000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-21,86.5450000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-20,87.1530000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-19,86.9050000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-18,87.8850000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-17,88.7330000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-14,88.3770000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-13,88.7980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-12,88.7780000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-11,89.5420000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-10,91.0270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-07,90.5670000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-06,90.9180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-05,88.8270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-04,89.2360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-07-03,88.7430000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-30,89.3310000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-29,89.6020000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-28,90.3030000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-27,91.3090000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-26,91.0480000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-23,91.1850000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-22,91.0840000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-21,90.5710000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-20,91.9360000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-19,91.3440000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-16,90.4430000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-15,92.3260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-14,91.5790000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-13,91.9390000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-12,92.7440000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-09,93.5160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-08,94.7750000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-07,96.1270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-06,95.8400000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-05,97.2090000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-02,97.4000000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-06-01,100.6000000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-31,100.8790000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-30,101.2500000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-29,103.1270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-26,103.1270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-25,103.9320000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-24,106.0890000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-23,105.0480000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-22,105.3010000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-19,107.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-18,106.0820000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-17,108.6140000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-16,108.8090000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-15,109.8200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-12,110.8400000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-11,112.1880000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-10,113.0860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-09,113.7470000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-08,112.9280000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-05,112.9280000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-04,112.3200000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-03,112.1660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-02,112.0530000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-05-01,111.7160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-28,111.7160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-27,111.8120000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-26,112.3810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-25,102.8960000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-24,103.3290000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-21,105.6270000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-20,105.5680000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-19,103.7370000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-18,103.8180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-17,108.6810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-14,109.2350000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-13,108.7890000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-12,109.9260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-11,110.1050000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-10,111.2660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-07,111.2660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-06,111.2660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-05,110.3130000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-04,107.4960000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-04-03,106.9550000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-31,105.9410000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-30,108.2050000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-29,109.4150000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-28,111.9180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-27,112.9550000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-24,114.5170000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-23,111.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-22,110.5680000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-21,109.4690000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-20,118.3680000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-17,112.0420000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-16,111.3240000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-15,115.3880000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-14,106.2220000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-13,112.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-10,99.7050000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-09,95.6930000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-08,94.3820000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-07,93.0850000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-06,92.8250000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-03,93.2430000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-02,92.9810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-03-01,94.0660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-28,93.3640000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-27,92.6920000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-24,93.8580000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-23,92.6540000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-22,94.6820000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-21,93.3910000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-20,90.1260000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-17,89.7490000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-16,91.3470000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-15,91.0860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-14,89.8290000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-13,91.8460000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-10,92.7860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-09,89.9440000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-08,90.9370000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-07,92.9980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-06,92.8800000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-03,92.0720000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-02,94.1140000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-02-01,102.9610000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-31,105.1230000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-30,105.7590000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-27,105.6960000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-26,105.3670000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-25,106.7180000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-24,105.3980000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-23,106.8010000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-20,106.3310000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-19,104.4990000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-18,100.5340000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-17,108.4670000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-16,108.9130000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-13,110.6540000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-12,111.2480000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-11,114.7860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-10,122.1410000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-09,123.4750000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-06,123.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-05,123.9600000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-04,127.6100000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-03,132.5520000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-01-02,132.2740000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-30,132.2740000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-29,132.4450000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-28,134.3110000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-27,133.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-26,133.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-23,133.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-22,133.3180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-21,135.6360000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-20,135.6360000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-19,135.6360000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-16,135.0290000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-15,130.2140000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-14,126.6920000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-13,123.6510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-12,125.4900000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-09,126.4180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-08,124.8320000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-07,126.0090000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-06,126.6670000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-05,126.0940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-02,128.0650000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-12-01,126.9130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-30,129.5310000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-29,129.4410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-28,130.8610000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-25,126.8490000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-24,125.4120000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-23,126.3610000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-22,131.1410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-21,131.5370000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-18,130.2280000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-17,131.2930000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-16,130.0780000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-15,132.7140000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-14,136.7630000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-11,136.5250000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-10,136.0390000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-09,139.8330000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-08,138.9090000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-07,141.5920000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-04,142.8290000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-03,144.6060000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-02,143.1950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-11-01,143.7950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-31,146.4560000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-28,143.9510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-27,149.6910000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-26,153.7380000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-25,154.4110000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-24,161.9110000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-21,168.9100000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-20,168.0800000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-19,172.8920000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-18,173.3240000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-17,172.2710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-14,171.4930000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-13,174.4760000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-12,174.9770000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-11,170.7810000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-10,174.7570000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-07,177.6180000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-06,171.7780000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-05,173.2450000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-04,166.4270000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-10-03,173.7270000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-30,174.7850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-29,176.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-28,174.7570000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-27,171.1670000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-26,163.0480000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-23,154.7250000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-22,148.4940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-21,150.3920000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-20,152.5890000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-19,145.7060000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-16,145.7060000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-15,143.7140000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-14,144.0770000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-13,143.1510000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-12,145.9470000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-09,148.7630000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-08,145.7600000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-07,148.3940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-06,152.9860000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-05,156.8460000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-02,151.6320000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-09-01,155.1930000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-31,152.9540000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-30,151.5650000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-29,151.2880000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-26,151.2880000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-25,145.8300000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-24,153.0330000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-23,152.6440000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-22,149.8730000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-19,148.1350000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-18,145.7120000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-17,145.2990000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-16,140.8860000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-15,135.1300000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-12,132.2950000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-11,129.8420000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-10,137.0390000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-09,141.3050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-08,139.1360000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-05,139.1100000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-04,144.2260000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-03,148.0840000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-02,154.7850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-08-01,153.1050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-29,162.1860000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-28,173.1410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-27,173.9920000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-26,169.5830000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-25,164.7410000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-22,166.1790000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-21,168.7550000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-20,154.9930000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-19,152.6430000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-18,160.5480000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-15,161.5940000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-14,160.1800000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-13,147.4690000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-12,143.5910000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-11,138.4540000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-08,138.3300000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-07,139.4850000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-06,138.4050000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-05,138.9500000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-04,132.8040000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-07-01,128.8220000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-30,131.2130000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-29,126.4890000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-28,127.9710000,Normal value (A),Not for publication, restricted for internal use only (N),
2022-06-27,133.2850000,Normal value (A),Not for publication, restricted for internal use only (N),
