Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=1a35b53ab43b4fe981667ed95c8df53a&SERIES_KEY=42.FM.B.DE.USD.DS.SC.BDGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.DE.USD.DS.SC.BDGVTS5.HST
,"GERMANY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2023-11-10,19.7050000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-09,19.3060000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-08,19.6720000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-07,20.9620000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-06,21.1100000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-03,20.3050000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-02,20.3850000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-11-01,21.0030000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-31,20.8750000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-30,21.7110000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-27,21.7270000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-26,22.3070000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-25,21.8100000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-24,22.1790000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-23,21.7630000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-20,24.4890000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-19,23.6560000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-18,21.8950000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-17,21.4370000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-16,21.6010000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-13,21.8810000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-12,22.1620000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-11,22.2870000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-10,21.5600000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-09,21.6010000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-06,21.8320000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-05,22.5050000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-04,20.5040000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-03,21.7510000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-10-02,21.1200000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-29,22.0560000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-28,22.0030000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-27,21.4450000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-26,21.8190000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-25,21.3350000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-22,20.0710000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-21,19.0560000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-20,18.6930000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-19,17.6930000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-18,18.0720000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-15,17.2860000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-14,17.4480000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-13,17.1750000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-12,16.7600000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-11,16.9360000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-08,16.9460000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-07,16.9640000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-06,16.8230000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-05,16.1400000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-04,16.2710000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-09-01,16.8890000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-31,16.9300000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-30,16.9890000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-29,16.5880000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-28,17.1670000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-25,17.2210000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-24,16.4220000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-23,16.6970000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-22,15.6930000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-21,14.8060000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-18,16.1490000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-17,14.5300000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-16,14.6860000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-15,14.7360000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-14,14.4750000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-11,13.6030000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-10,13.7530000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-09,13.5210000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-08,14.2050000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-07,13.9700000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-04,14.4480000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-03,13.5240000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-02,14.3620000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-08-01,14.0180000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-31,13.0070000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-28,14.8380000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-27,13.8790000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-26,14.1400000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-25,14.3230000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-24,14.5780000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-21,14.5770000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-20,14.6590000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-19,14.3450000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-18,14.3110000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-17,14.6330000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-14,14.3130000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-13,13.8800000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-12,13.8270000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-11,14.8260000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-10,14.3000000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-07,13.6190000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-06,14.4520000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-05,14.3060000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-04,14.2680000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-07-03,14.2490000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-30,14.3980000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-29,14.9650000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-28,14.0960000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-27,14.7780000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-26,14.1730000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-23,14.1130000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-22,14.1190000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-21,14.2230000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-20,14.2420000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-19,13.9800000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-16,14.0730000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-15,13.8790000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-14,13.2870000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-13,13.2510000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-12,12.7960000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-09,13.6430000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-08,14.0310000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-07,13.7660000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-06,14.2460000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-05,13.7780000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-02,13.7350000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-06-01,14.1180000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-31,14.1500000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-30,14.1490000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-29,13.7410000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-26,13.8010000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-25,13.9330000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-24,13.4450000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-23,12.8260000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-22,12.7500000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-19,12.6470000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-18,13.4100000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-17,12.7810000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-16,13.3170000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-15,13.3320000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-12,13.2740000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-11,13.7160000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-10,13.9200000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-09,13.2920000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-08,13.6420000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-05,13.6490000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-04,13.2500000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-03,13.3280000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-02,13.3410000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-05-01,13.3760000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-28,13.4370000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-27,14.7780000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-26,15.1840000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-25,14.8020000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-24,14.5330000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-21,14.8560000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-20,14.9620000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-19,14.4600000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-18,14.8870000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-17,14.7260000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-14,14.9290000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-13,14.7890000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-12,14.8960000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-11,14.8360000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-10,15.0130000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-07,15.1060000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-06,14.8400000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-05,15.0360000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-04,15.0910000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-04-03,15.1000000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-31,15.0300000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-30,15.4160000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-29,15.6770000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-28,15.8630000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-27,15.8230000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-24,15.3170000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-23,15.8400000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-22,15.0220000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-21,15.0340000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-20,16.1870000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-17,13.9410000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-16,14.6300000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-15,14.6250000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-14,14.5200000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-13,14.5400000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-10,13.3460000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-09,13.5370000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-08,13.1600000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-07,12.8380000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-06,13.9260000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-03,14.2710000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-02,13.0770000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-03-01,13.7030000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-28,13.7410000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-27,13.2390000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-24,13.6160000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-23,13.3540000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-22,12.8990000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-21,12.9520000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-20,13.2080000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-17,14.0350000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-16,13.1530000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-15,13.2060000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-14,13.5400000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-13,13.6150000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-10,13.7650000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-09,13.2830000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-08,12.3700000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-07,12.2370000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-06,13.2570000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-03,13.4770000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-02,13.5880000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-02-01,14.0750000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-31,14.6810000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-30,13.7520000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-27,14.2020000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-26,14.1340000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-25,13.5320000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-24,14.2850000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-23,15.9160000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-20,14.9630000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-19,15.5170000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-18,16.8150000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-17,16.9590000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-16,17.7650000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-13,17.5350000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-12,17.4790000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-11,18.5490000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-10,17.7800000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-09,18.3800000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-06,18.3360000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-05,18.2890000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-04,18.5050000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-03,18.8590000,Normal value (A),Not for publication, restricted for internal use only (N)
2023-01-02,18.9390000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-30,18.8640000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-29,18.9010000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-28,19.0590000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-27,19.0180000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-26,18.9850000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-23,18.8960000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-22,18.9600000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-21,19.5500000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-20,19.4530000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-19,19.3730000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-16,19.5200000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-15,19.2480000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-14,19.2290000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-13,18.9710000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-12,19.3440000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-09,18.4730000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-08,18.3600000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-07,18.9630000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-06,18.9750000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-05,18.4440000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-02,18.8220000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-12-01,18.6780000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-30,18.7530000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-29,19.2160000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-28,19.2440000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-25,18.4320000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-24,18.2000000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-23,19.4690000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-22,19.9280000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-21,20.0400000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-18,20.0010000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-17,19.9480000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-16,19.6200000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-15,20.8590000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-14,22.0160000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-11,22.1660000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-10,22.8900000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-09,24.6200000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-08,23.5620000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-07,23.9970000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-04,24.1660000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-03,25.9880000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-02,27.3400000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-11-01,27.3510000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-31,27.2480000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-28,26.2430000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-27,26.7900000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-26,26.5450000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-25,26.0020000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-24,26.8960000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-21,27.7210000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-20,28.0340000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-19,28.1740000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-18,27.9770000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-17,28.1270000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-14,27.7500000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-13,28.9260000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-12,27.9820000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-11,27.5310000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-10,25.3240000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-07,24.9940000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-06,25.0950000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-05,24.6050000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-04,24.1480000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-10-03,23.7540000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-30,24.1220000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-29,23.9500000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-28,23.2300000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-27,20.4470000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-26,19.1470000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-23,17.2670000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-22,16.9740000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-21,16.9740000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-20,16.9620000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-19,16.5570000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-16,16.7200000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-15,16.7490000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-14,16.9850000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-13,16.8060000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-12,16.2610000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-09,15.8820000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-08,16.0670000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-07,16.3390000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-06,16.5320000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-05,17.2040000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-02,16.3110000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-09-01,16.7100000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-31,15.8730000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-30,15.6300000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-29,15.9110000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-26,15.6050000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-25,16.1480000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-24,15.8940000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-23,15.1270000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-22,15.2010000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-19,15.1130000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-18,15.1750000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-17,15.2830000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-16,15.3760000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-15,15.4150000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-12,15.7910000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-11,15.9660000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-10,15.3490000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-09,15.7110000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-08,15.9080000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-05,15.9980000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-04,15.9910000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-03,16.4050000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-02,16.0040000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-08-01,15.7660000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-29,15.3320000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-28,15.8140000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-27,16.0540000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-26,16.4990000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-25,16.5360000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-22,16.5890000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-21,16.6900000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-20,16.9780000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-19,16.3230000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-18,16.7440000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-15,17.8180000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-14,15.8480000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-13,15.4320000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-12,15.8690000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-11,16.1090000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-08,16.7340000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-07,14.6310000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-06,14.0430000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-05,13.1010000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-04,12.8770000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-07-01,12.3040000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-06-30,12.9030000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-06-29,13.2540000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-06-28,13.4090000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-06-27,13.3220000,Normal value (A),Not for publication, restricted for internal use only (N)
2022-06-24,12.6770000,Normal value (A),Not for publication, restricted for internal use only (N)
